,Most-recent transaction,Date,Shares owned as of transaction date
Arora (Rajiv),Other,18-Jun-2018,"43,459"
Bansal (Ravinder),Other,19-Aug-2019,"15,012"
Bharti Airtel Ltd,Other,19-Mar-2019,"620,898,728"
Bharti Infratel Employees Welfare Trust,Sale,14-May-2020,"158,504"
Gupta (Akhil),Sale,11-Feb-2020,"712,217"
Hooda (Ravinder),Acquisition,15-Dec-2017,"7,501"
Khanna (Devendra),Other,20-Apr-2020,"90,284"
"Nettle Infrastructure Investments, Ltd.",Other,19-Mar-2019,"368,882,251"
