data
28.00
28.20
0.00 x 0
0.00 x 0
27.90 - 28.30
5.65 - 114.65
"9,241,543"
"33,651,504"
352.041B
1.34
N/A
-56.11
15-Jul-2020 - 20-Jul-2020
N/A (N/A)
04-Jun-2019
282.14
