,Most-recent transaction,Date,Shares owned as of transaction date
Bali (Vinita),Other,05-Dec-2013,"400,000"
Berry (Varun),Sale,30-Jun-2020,"61,098"
Life Insurance Corporation of India,Sale,03-Oct-2013,"3,916,004"
Wadia (Ness Nusli),Acquisition,24-Jun-2020,"16,202"
