,data
Previous close,"3,535.10"
Open,"3,549.50"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"3,515.00 - 3,579.95"
52-week range,"2,100.00 - 3,708.00"
Volume,"323,125"
Avg. volume,"936,217"
Market cap,851.281B
Beta (5Y monthly),0.43
PE ratio (TTM),60.65
EPS (TTM),58.34
Earnings date,N/A
Forward dividend & yield,50.00 (1.41%)
Ex-dividend date,29-Apr-2020
1y target est,"3,175.94"
