,data
Previous close,569.20
Open,572.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,570.60 - 580.55
52-week range,375.25 - 623.50
Volume,"3,734,393"
Avg. volume,"4,883,585"
Market cap,1.572T
Beta (5Y monthly),0.47
PE ratio (TTM),"1,016.05"
EPS (TTM),0.57
Earnings date,17-Jul-2020
Forward dividend & yield,8.00 (1.41%)
Ex-dividend date,24-Jan-2020
1y target est,"1,165.43"
