,0,1,2
30-Jun-2010,18.5, ,Dividend
09-Jun-2011,23.5, ,Dividend
25-Oct-2011,9.5, ,Dividend
07-Jun-2012,30.5, ,Dividend
29-Oct-2012,9.5, ,Dividend
06-Jun-2013,36.5, ,Dividend
24-Oct-2013,1.1, ,Dividend
16-Jun-2014,4.2, ,Dividend
22-Sep-2014,1.8, ,Dividend
24-Jun-2015,4.3, ,Dividend
28-Oct-2015,2.2, ,Dividend
16-Jun-2016,5.3, ,Dividend
01-Nov-2016,2.65, ,Dividend
31-Oct-2017,2.65, ,Dividend
14-Jun-2018,6.05, ,Dividend
13-Jun-2019,7.65, ,Dividend
30-Oct-2019,3.35, ,Dividend
