,Most-recent transaction,Date,Shares owned as of transaction date
ACC AP Trust,Other,18-Sep-2019,"785,700"
Choksi (Urvashi Ashwin),Other,18-Sep-2019,"838,110"
Dani (Ashwin Suryakant),Other,03-Dec-2019,"1,124,870"
Geetanjali Trading And Investments Private Ltd,Other,18-Dec-2019,"46,867,440"
Rayirth Holding & Trading company Pvt Ltd,Other,19-Mar-2020,"965,910"
Sattva Holding And Trading Pvt. Ltd.,Other,19-Mar-2020,"56,388,682"
Smiti Holding & Trading Company Pvt Ltd,Purchase,06-Mar-2020,"54,873,068"
