,data
Previous close,"22,762.85"
Open,"22,985.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"22,737.55 - 22,987.55"
52-week range,"15,410.00 - 25,355.00"
Volume,"31,513"
Avg. volume,"64,041"
Market cap,824.975B
Beta (5Y monthly),0.84
PE ratio (TTM),52.54
EPS (TTM),435.35
Earnings date,N/A
Forward dividend & yield,220.00 (0.97%)
Ex-dividend date,24-Feb-2020
1y target est,"16,733.00"
