,data
Previous close,646.20
Open,652.95
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,635.50 - 652.95
52-week range,355.30 - 692.50
Volume,"5,373,278"
Avg. volume,"8,739,118"
Market cap,514.727B
Beta (5Y monthly),0.43
PE ratio (TTM),33.34
EPS (TTM),19.16
Forward dividend & yield,6.00 (0.93%)
Ex-dividend date,19-Mar-2020
1y target est,592.05
