,data
Previous close,"1,686.45"
Open,"1,695.40"
Bid,"1,695.65 x 0"
Ask,0.00 x 0
Day's range,"1,690.00 - 1,720.00"
52-week range,"1,291.25 - 1,916.70"
Volume,"1,988,580"
Avg. volume,"2,754,497"
Market cap,1.627T
Beta (5Y monthly),0.27
PE ratio (TTM),60.13
EPS (TTM),28.20
Earnings date,N/A
Forward dividend & yield,12.00 (0.71%)
Ex-dividend date,23-Jul-2020
1y target est,"1,369.97"
