,data
Previous close,224.20
Open,224.20
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,222.65 - 228.50
52-week range,159.40 - 276.15
Volume,"5,418,355"
Avg. volume,"7,612,043"
Market cap,1.282T
Beta (5Y monthly),0.37
PE ratio (TTM),13.53
EPS (TTM),16.62
Earnings date,N/A
Forward dividend & yield,2.00 (0.89%)
Ex-dividend date,24-Jan-2020
1y target est,290.68
