,Most-recent transaction,Date,Shares owned as of transaction date
HSBC Global Investment Asset Management,Sale,29-Jun-2012,"14,433,936"
LIC of India Market Plus,Sale,24-Sep-2009,"36,964,231"
Life Insurance Corporation of India,Sale,17-May-2013,"24,911,530"
Suzuki Motor Corporation,Acquisition,06-Mar-2020,"169,999,440"
