,0,1,2
22-Feb-2018,14, ,Dividend
31-Aug-2018,7, ,Dividend
21-Feb-2019,11, ,Dividend
22-Aug-2019,8, ,Dividend
21-Aug-2019,8, ,Dividend
23-Mar-2020,16.5, ,Dividend
