Insider,Insider Type,Type,Date,Shares
Govt of India,Promoter,Direct,21-Feb-2019,"13,849,907"
Life Insurance Corporation of India,Investment Advisor,Direct,19-Nov-2009,"480,087"
Datta (B K),Director,Direct,01-Aug-2011,10
Bijapurkar (Rama),Director,Direct,16-Apr-2010,500
