,data
Previous close,383.50
Open,387.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,383.30 - 390.55
52-week range,252.00 - 549.00
Volume,"3,480,878"
Avg. volume,"7,615,020"
Market cap,836.249B
Beta (5Y monthly),0.98
PE ratio (TTM),24.82
EPS (TTM),15.53
Forward dividend & yield,24.50 (6.39%)
Ex-dividend date,23-Mar-2020
1y target est,349.69
