,data
Previous close,133.60
Open,134.40
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,133.05 - 135.90
52-week range,119.20 - 241.45
Volume,"9,074,799"
Avg. volume,"9,825,554"
Market cap,833.509B
Beta (5Y monthly),0.48
PE ratio (TTM),4.99
EPS (TTM),27.12
Earnings date,N/A
Forward dividend & yield,24.00 (17.96%)
Ex-dividend date,19-Mar-2020
1y target est,330.18
