,data
Previous close,756.60
Open,755.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,752.50 - 764.00
52-week range,509.25 - 847.00
Volume,"7,793,949"
Avg. volume,"9,910,943"
Market cap,3.234T
Beta (5Y monthly),0.29
PE ratio (TTM),"1,394.33"
EPS (TTM),0.55
Earnings date,15-Jul-2020
Forward dividend & yield,17.50 (2.31%)
Ex-dividend date,29-May-2020
1y target est,790.72
