,Most-recent transaction,Date,Shares owned as of transaction date
Bhaskar (Vrunda),Acquisition,18-Sep-2018,"51,000"
Bhat (Bhaskar),Acquisition,07-Feb-2011,"4,048"
Mitra (Suparna),Acquisition,16-May-2019,"28,000"
Raj (Govind V),Sale,11-Feb-2016,"11,000"
Tata AIA Life Insurance Company Ltd,Sale,04-Apr-2012,"2,661,027"
