,0,1,2
09-Jul-2010,15, ,Dividend
22-Jul-2011,1.25, ,Dividend
23-Jun-2011,2:1, ,Stock split
13-Jul-2012,1.75, ,Dividend
16-Jul-2013,2.1, ,Dividend
15-Jul-2014,2.1, ,Dividend
17-Jul-2015,2.3, ,Dividend
22-Mar-2016,2.2, ,Dividend
24-Jul-2017,2.6, ,Dividend
30-Jul-2019,5, ,Dividend
29-Jul-2019,5, ,Dividend
