,Most-recent transaction,Date,Shares owned as of transaction date
Gopinathan (Rajesh),Acquisition,14-Oct-2019,"2,760"
Krishnamurthy (Ganesan),Sale,03-Jun-2020,"22,067"
Lakshminarayanan (Sukanya),Sale,03-Jun-2020,845
Menon (Suresh Gopinathan),Sale,19-Feb-2020,"33,000"
Pathak (Shrikant N),Gift,30-Aug-2019,"14,124"
Shroff (Gautam),Acquisition,24-Sep-2019,"25,348"
TV (Kamalakkannan),Sale,11-Jun-2020,"5,619"
Tewari (Amitabh),Sale,13-Mar-2020,288
Thomas (Sheeba),Sale,23-Dec-2019,200
