,data
Previous close,617.95
Open,623.80
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,613.50 - 630.00
52-week range,385.05 - 939.00
Volume,"2,065,489"
Avg. volume,"2,447,279"
Market cap,413.201B
Beta (5Y monthly),0.83
PE ratio (TTM),9.32
EPS (TTM),67.38
Forward dividend & yield,7.00 (1.13%)
Ex-dividend date,08-Aug-2019
1y target est,"1,084.87"
