,data
Previous close,"1,352.00"
Open,"1,359.90"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"1,350.05 - 1,368.70"
52-week range,"1,001.00 - 1,740.00"
Volume,"2,766,777"
Avg. volume,"6,455,866"
Market cap,2.679T
Beta (5Y monthly),0.58
PE ratio (TTM),30.30
EPS (TTM),44.68
Earnings date,N/A
Forward dividend & yield,0.80 (0.06%)
Ex-dividend date,12-Jul-2019
1y target est,N/A
