,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total assets,"4,43,17,27,117","3,95,17,12,481","3,37,72,04,737","2,76,18,75,587"
Total liabilities,"3,76,03,57,269","3,36,88,94,434","2,87,23,22,392","2,37,22,04,217"
Common stock,"1,45,65,192","1,45,43,774","95,28,243","92,04,489"
Retained earnings,"36,43,58,501","30,40,70,411","24,93,11,308","20,15,25,609"
Total stockholders' equity,"67,13,69,848","58,28,18,047","50,48,82,345","38,49,27,109"
Total liabilities and stockholders' equity,"4,43,17,27,117","3,95,17,12,481","3,37,72,04,737","2,76,18,75,587"
