,data
Previous close,"3,920.55"
Open,"3,940.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"3,910.00 - 3,967.95"
52-week range,"2,351.20 - 4,190.00"
Volume,"455,953"
Avg. volume,"1,178,234"
Market cap,650.204B
Beta (5Y monthly),-0.03
PE ratio (TTM),33.40
EPS (TTM),117.40
Forward dividend & yield,25.00 (0.64%)
Ex-dividend date,13-Jul-2020
1y target est,"2,587.45"
