Insider,Insider Type,Type,Date,Shares
Chandrasekaran (Natarajan),UNREPORTED,Direct,16-Mar-2020,"200,000"
Ewart Investments Ltd,Promoter,Direct,20-Sep-2016,"1,200,000"
Hoshang (Sethna K),Company Secretary,Direct,02-Jan-2015,500
Mistry (Cyrus P),Non Executive Chairman,Direct,11-Sep-2013,"14,500"
Life Insurance Corporation of India,Institution- Corporation,Direct,07-Jan-2013,"55,112,111"
Tata AIA Life Insurance Company Ltd,Promoter,Direct,12-Sep-2011,"4,425,740"
TATA AIG General Insurance Co Ltd,Promoter,Direct,21-Feb-2012,"20,000"
