,0,1,2
10-Aug-2010,15, ,Dividend
19-Jul-2011,20, ,Dividend
12-Sep-2011,5:1, ,Stock split
18-Jul-2012,4, ,Dividend
09-Jul-2014,2, ,Dividend
18-Jul-2016,0.2, ,Dividend
