,data
Previous close,101.55
Open,102.85
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,102.10 - 106.35
52-week range,63.50 - 201.70
Volume,"87,280,004"
Avg. volume,"69,794,313"
Market cap,340.793B
Beta (5Y monthly),2.00
PE ratio (TTM),N/A
EPS (TTM),-84.89
Earnings date,N/A
Forward dividend & yield,N/A (N/A)
Ex-dividend date,18-Jul-2016
1y target est,N/A
