,Most-recent transaction,Date,Shares owned as of transaction date
Chandrasekaran (Natarajan),Acquisition,16-Mar-2020,"200,000"
Ewart Investments Ltd,Sale,20-Sep-2016,"778,970,378"
Hoshang (Sethna K),Sale,02-Jan-2015,"4,745"
Life Insurance Corporation of India,Sale,07-Jan-2013,"141,782,919"
Mistry (Cyrus P),Acquisition,11-Sep-2013,"14,500"
Tata AIA Life Insurance Company Ltd,Acquisition,14-Mar-2012,"5,472,975"
