,Most-recent transaction,Date,Shares owned as of transaction date
Braunsperger (Markus),Other,31-Jan-2019,"8,775"
Chhabra (Surender Kumar),Other,31-Jan-2019,"2,708"
Goyal (Mukesh),Sale,20-Sep-2019,711
Gupta (Niranjan),Other,08-Jun-2020,"4,866"
Kasbekar (Vikram S.),Other,31-Jan-2019,"3,974"
Munjal (Suman Kant),Acquisition,31-Mar-2020,"91,250"
PAWAN MUNJAL FAMILY TRUST,Acquisition,31-Mar-2020,"158,000"
R K Munjal & Sons Trust,Acquisition,31-Mar-2020,"8,000"
