,data
Previous close,"2,671.40"
Open,"2,680.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"2,677.60 - 2,750.00"
52-week range,"1,475.00 - 3,022.90"
Volume,"2,637,455"
Avg. volume,"1,936,189"
Market cap,546.941B
Beta (5Y monthly),0.75
PE ratio (TTM),15.03
EPS (TTM),182.15
Earnings date,N/A
Forward dividend & yield,90.00 (3.37%)
Ex-dividend date,30-Jul-2020
1y target est,N/A
