,data
Previous close,205.85
Open,208.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,206.00 - 208.50
52-week range,134.60 - 282.90
Volume,"37,873,497"
Avg. volume,"29,474,658"
Market cap,2.551T
Beta (5Y monthly),0.51
PE ratio (TTM),16.67
EPS (TTM),12.45
Forward dividend & yield,10.15 (4.93%)
Ex-dividend date,06-Jul-2020
1y target est,339.53
