,Most-recent transaction,Date,Shares owned as of transaction date
Bose (Sudip Kumar),Sale,23-Mar-2020,"202,913"
Ganesan (Murali),Sale,13-Mar-2020,"192,400"
Gouraha (Rahul),Sale,13-Mar-2020,"18,938"
Prasad (Rama H N),Sale,13-Mar-2020,"179,374"
Sanganeria (Ganesh),Sale,13-Mar-2020,"49,030"
Sarma (C V),Sale,31-Mar-2020,"94,700"
Thakur (Nripendranath),Sale,23-Mar-2020,"102,463"
Vishwanathan (M),Sale,13-Mar-2020,"8,077"
