,Most-recent transaction,Date,Shares owned as of transaction date
Asthana (Aparna),Other,20-Mar-2015,450
Augusthy (Francis),Other,20-Mar-2015,220
Bhardwaj (Archana),Other,28-Apr-2015,"2,000"
Ghosh (Partha),Other,28-Apr-2015,20
Goel (Sushma),Other,13-Apr-2015,130
Goel (Umesh),Other,13-Apr-2015,"2,450"
President of India,Sale,22-Jul-2019,"4,848,133,178"
Sahay (Sanjay),Other,28-Apr-2015,"4,000"
Sunder (S),Other,13-Apr-2015,"1,400"
Tamboli (Piyush Indulal),Acquisition,26-Aug-2015,"1,026,422"
