,data
Previous close,174.40
Open,176.60
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,171.30 - 177.35
52-week range,114.00 - 405.20
Volume,"10,078,775"
Avg. volume,"23,589,902"
Market cap,165.447B
Beta (5Y monthly),0.88
PE ratio (TTM),10.44
EPS (TTM),16.50
Forward dividend & yield,3.50 (2.01%)
Ex-dividend date,15-Jul-2019
1y target est,544.38
