,0,1,2
10-Jun-2010,12, ,Dividend
02-Jun-2011,14, ,Dividend
31-May-2012,16.5, ,Dividend
30-May-2013,20, ,Dividend
05-Jun-2014,23, ,Dividend
04-Dec-2014,5:1, ,Stock split
04-Jun-2015,5, ,Dividend
16-Jun-2016,5, ,Dividend
20-Jun-2017,11:10, ,Stock split
24-Aug-2018,1.5, ,Dividend
23-Jul-2019,1, ,Dividend
22-Jul-2019,1, ,Dividend
