Insider,Insider Type,Type,Date,Shares
President of India,Promoter,Direct,10-Apr-2015,"84,073"
Government of India,Promoter,Direct,01-Mar-2012,"420,416,170"
Life Insurance Corporation of India,Institution- Corporation,Direct,19-Jan-2010,"355,917"
