,data
Previous close,81.85
Open,82.45
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,81.60 - 83.35
52-week range,50.00 - 161.50
Volume,"16,778,251"
Avg. volume,"23,571,385"
Market cap,1.037T
Beta (5Y monthly),1.03
PE ratio (TTM),9.50
EPS (TTM),8.67
Forward dividend & yield,5.75 (7.03%)
Ex-dividend date,23-Mar-2020
1y target est,211.33
