Insider,Insider Type,Type,Date,Shares
President of India,Promoter,Direct,07-Feb-2013,"783,262,880"
Pandey (S C),Director (Executive),Direct,01-Oct-2013,"2,304"
Pani (Umesh Prasad),Director (Executive),Direct,01-Mar-2013,922
