,data
Previous close,93.40
Open,93.60
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,92.75 - 95.35
52-week range,73.20 - 136.60
Volume,"15,272,789"
Avg. volume,"16,745,161"
Market cap,934.535B
Beta (5Y monthly),0.52
PE ratio (TTM),8.06
EPS (TTM),11.72
Forward dividend & yield,3.00 (3.21%)
Ex-dividend date,26-Mar-2020
1y target est,191.33
