,31/3/2019,31/3/2018,31/3/2017
Total assets,"8,14,04,59,676","7,03,70,33,671","6,11,46,20,110"
Total liabilities,"7,46,15,87,341","6,39,42,64,452","5,55,02,03,539"
Common stock,"51,43,290","51,33,078","47,90,072"
Retained earnings,"25,11,75,230","23,55,43,472","24,88,15,549"
Total stockholders' equity,"67,80,26,188","64,20,74,090","56,38,03,505"
Total liabilities and stockholders' equity,"8,14,04,59,676","7,03,70,33,671","6,11,46,20,110"
