,Most-recent transaction,Date,Shares owned as of transaction date
Pandey (S C),Acquisition,01-Oct-2013,"2,304"
Pani (Umesh Prasad),Acquisition,01-Mar-2013,922
President of India,Sale,03-Feb-2020,"5,048,097,508"
