,Most-recent transaction,Date,Shares owned as of transaction date
Dr. Reddy's Employees ESOS Trust,Sale,27-Jun-2020,"370,200"
Gudlavalleti (Sauri),Other,27-Jun-2020,"1,749"
Kalawadia (Milan),Other,27-Jun-2020,"7,341"
Rao (B Mallikharjuna),Sale,30-Jun-2020,"1,926"
Rao (Srinivasa B),Other,27-Jun-2020,"1,844"
Rooserberg (John),Other,27-Jun-2020,491
Swaminathan (C),Other,27-Jun-2020,"1,575"
Swaroop (Anjum),Other,27-Jun-2020,"4,895"
Tyagi (Namrata Gill),Other,27-Jun-2020,"1,579"
