,Most-recent transaction,Date,Shares owned as of transaction date
Bhuwalka (Aiyush),Sale,25-Jan-2018,"10,000"
Bhuwalka (Urmila),Acquisition,17-Sep-2019,"302,270"
JSW Steel Employees Welfare Trust,Sale,24-Jun-2020,"14,672,076"
JTPM Metal Traders Pvt. Ltd.,Acquisition,25-Jun-2020,"17,747,700"
Jajodia (Seema),Gift,22-Feb-2019,"1,750,000"
Jhunjhunwala (Sarika),Acquisition,23-Mar-2020,"20,000"
Jindal (Parth),Gift,22-Feb-2019,"1,820,000"
Sahyog Tradecorp Pvt Ltd,Acquisition,04-Dec-2019,"112,067,860"
Vividh Consultancy & Advisory Services Pvt. Ltd.,Acquisition,27-Aug-2019,"143,370,690"
