,Most-recent transaction,Date,Shares owned as of transaction date
Government of India,Sale,27-Mar-2014,"5,897,760,333"
Life Insurance Corporation of India,Acquisition,03-Mar-2012,"810,617,088"
President of India,Sale,24-Nov-2017,"8,690,032,256"
