,data
Previous close,442.45
Open,445.20
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,442.40 - 452.95
52-week range,240.15 - 673.50
Volume,"3,811,333"
Avg. volume,"6,922,847"
Market cap,339.389B
Beta (5Y monthly),1.10
PE ratio (TTM),19.11
EPS (TTM),23.24
Forward dividend & yield,N/A (N/A)
Ex-dividend date,28-May-2019
1y target est,939.31
