,data
Previous close,147.75
Open,148.60
Bid,0.00 x 0
Ask,146.40 x 0
Day's range,144.55 - 149.45
52-week range,84.90 - 221.20
Volume,"10,776,994"
Avg. volume,"17,340,092"
Market cap,326.468B
Beta (5Y monthly),1.60
PE ratio (TTM),8.65
EPS (TTM),16.93
Earnings date,N/A
Forward dividend & yield,1.20 (0.81%)
Ex-dividend date,14-Aug-2019
1y target est,N/A
