,Most-recent transaction,Date,Shares owned as of transaction date
Birla Group Holdings Pvt Ltd,Other,08-Jul-2019,"228,292,308"
Hindalco Employee Welfare Trust,Acquisition,30-Dec-2019,"5,885,672"
Jajoo (Satish),Other,25-Feb-2020,"106,034"
Laddha (J C),Other,17-Dec-2018,"111,297"
Mathew (Anil),Other,19-Nov-2019,"27,893"
Pai (Satish),Other,06-Mar-2020,"355,653"
Praveen (Maheshwari Kumar),Other,06-Mar-2020,"111,297"
Sandeep (RPY),Other,11-Oct-2018,"220,590"
Sarathy (Gopi Krishnan),Other,16-May-2019,"17,546"
