,0,1,2
29-Mar-2010,2:1, ,Stock split
08-Jul-2010,8.75, ,Dividend
14-Jul-2011,10.5, ,Dividend
12-Jul-2012,12.5, ,Dividend
18-Jul-2013,12.5, ,Dividend
17-Jul-2014,13.5, ,Dividend
16-Jul-2015,12, ,Dividend
21-Jul-2016,12, ,Dividend
13-Jul-2017,6.5, ,Dividend
18-Jul-2019,8.5, ,Dividend
