,data
Previous close,529.70
Open,531.40
Bid,530.50 x 0
Ask,0.00 x 0
Day's range,524.20 - 535.50
52-week range,245.40 - 645.20
Volume,"7,980,095"
Avg. volume,"7,608,825"
Market cap,659.512B
Beta (5Y monthly),0.78
PE ratio (TTM),N/A
EPS (TTM),N/A
Earnings date,N/A
Forward dividend & yield,2.35 (0.44%)
Ex-dividend date,16-Jul-2020
1y target est,981.33
