,data
Previous close,"1,089.40"
Open,"1,093.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"1,070.00 - 1,095.80"
52-week range,"738.75 - 1,305.50"
Volume,"13,796,976"
Avg. volume,"19,885,225"
Market cap,5.887T
Beta (5Y monthly),0.76
PE ratio (TTM),21.71
EPS (TTM),49.46
Earnings date,N/A
Forward dividend & yield,N/A (N/A)
Ex-dividend date,01-Aug-2019
1y target est,"2,405.29"
