,data
Previous close,560.85
Open,565.90
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,561.05 - 572.25
52-week range,471.40 - 845.90
Volume,"4,007,090"
Avg. volume,"4,517,529"
Market cap,547.918B
Beta (5Y monthly),0.32
PE ratio (TTM),12.37
EPS (TTM),45.85
Forward dividend & yield,29.00 (5.17%)
Ex-dividend date,23-Jul-2020
1y target est,830.41
