Insider,Insider Type,Type,Date,Shares
Mitra (Suparna),UNREPORTED,Direct,23-May-2018,"2,000"
Bhaskar (Vrunda),UNREPORTED,Direct,12-Nov-2014,"6,000"
Raj (Govind V),UNREPORTED,Direct,11-Feb-2016,"10,000"
Tata AIA Life Insurance Company Ltd,Promoter,Direct,19-Aug-2011,"100,000"
Bhat (Bhaskar),Managing Director,Direct,07-Feb-2011,630
