,data
Previous close,986.40
Open,992.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"986.30 - 1,008.00"
52-week range,"720.90 - 1,389.95"
Volume,"3,073,061"
Avg. volume,"4,040,248"
Market cap,890.893B
Beta (5Y monthly),0.76
PE ratio (TTM),59.34
EPS (TTM),16.91
Forward dividend & yield,4.00 (0.41%)
Ex-dividend date,03-Aug-2020
1y target est,883.81
