,Most-recent transaction,Date,Shares owned as of transaction date
Bhowmick (Rajib),Sale,24-Jun-2020,"38,919"
Jain (Manish),Other,25-Jun-2020,"17,785"
Jain (Sandeep),Other,25-Jun-2020,"53,950"
Javed (Mohd),Sale,23-Jun-2020,"1,300"
Mianwal (Shri Manav),Other,26-Jun-2020,"6,110"
Muralidharan (M M),Sale,25-Jun-2020,"193,895"
Verma (Raul Raj),Sale,25-Jun-2020,"38,302"
