,data
Previous close,"2,964.25"
Open,"2,980.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"2,921.00 - 2,989.45"
52-week range,"1,783.00 - 4,923.40"
Volume,"8,541,704"
Avg. volume,"11,056,951"
Market cap,1.769T
Beta (5Y monthly),0.94
PE ratio (TTM),32.91
EPS (TTM),89.07
Earnings date,N/A
Forward dividend & yield,16.00 (0.54%)
Ex-dividend date,03-Mar-2020
1y target est,N/A
