,data
Previous close,222.35
Open,222.35
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,221.15 - 228.50
52-week range,120.05 - 296.50
Volume,"5,941,906"
Avg. volume,"10,152,314"
Market cap,419.307B
Beta (5Y monthly),0.52
PE ratio (TTM),12.71
EPS (TTM),17.84
Earnings date,N/A
Forward dividend & yield,18.00 (8.13%)
Ex-dividend date,05-May-2020
1y target est,314.64
