,data
Previous close,"2,157.15"
Open,"2,163.65"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"2,160.25 - 2,205.00"
52-week range,"1,506.05 - 2,296.20"
Volume,"4,184,662"
Avg. volume,"3,553,049"
Market cap,8.254T
Beta (5Y monthly),0.61
PE ratio (TTM),25.52
EPS (TTM),86.18
Earnings date,09-Jul-2020
Forward dividend & yield,28.00 (1.30%)
Ex-dividend date,03-Jun-2020
1y target est,"2,122.44"
