,data
Previous close,"2,038.10"
Open,"2,042.00"
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,"2,032.00 - 2,090.00"
52-week range,"1,506.05 - 2,296.20"
Volume,"5,677,821"
Avg. volume,"3,723,302"
Market cap,7.672T
Beta (5Y monthly),0.61
PE ratio (TTM),23.72
EPS (TTM),86.18
Earnings date,07-Jul-2020 - 11-Jul-2020
Forward dividend & yield,28.00 (1.37%)
Ex-dividend date,03-Jun-2020
1y target est,"2,122.44"
