,0,1,2
20-May-2010,12, ,Dividend
08-Jun-2011,14, ,Dividend
14-Jun-2012,16, ,Dividend
05-Jul-2013,18, ,Dividend
28-Jul-2014,5:1, ,Stock split
12-Jun-2014,20, ,Dividend
07-Jul-2016,5, ,Dividend
06-Jul-2017,5, ,Dividend
04-Jul-2019,1, ,Dividend
