,data
Previous close,423.20
Open,430.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,423.65 - 431.60
52-week range,286.00 - 803.65
Volume,"31,014,151"
Avg. volume,"41,417,547"
Market cap,1.209T
Beta (5Y monthly),1.13
PE ratio (TTM),63.01
EPS (TTM),6.80
Earnings date,N/A
Forward dividend & yield,1.00 (0.24%)
Ex-dividend date,04-Jul-2019
1y target est,N/A
