,Most-recent transaction,Date,Shares owned as of transaction date
Dewan (Puneet),Other,09-Mar-2020,"6,600"
Gupta (Sameer),Sale,19-Mar-2020,"30,250"
Karmakar (Shyamal),Other,24-Jun-2020,"16,000"
Lall (Tarun Kumar),Other,24-Jun-2020,"12,800"
Madhavan (Viswanathan),Sale,12-Mar-2020,"9,200"
Rekapalli (Sanjay),Sale,13-Mar-2020,"2,249"
Sen (Soumitra),Other,16-Apr-2020,"152,839"
Vedanarayanan (L),Other,17-Mar-2020,"7,000"
Vudumula (Srinivas Reddy),Sale,12-Jun-2020,"24,400"
