,Most-recent transaction,Date,Shares owned as of transaction date
Chopra (Nikhil Ashokkumar),Other,01-Jun-2020,"32,833"
Dorlikar (Manoj),Sale,01-Jun-2020,979
Gopalakrishnan (R),Other,01-Jun-2020,"50,000"
Jagdale (Kuber M),Sale,20-May-2020,"7,714"
Jain (Renu),Sale,03-Jun-2020,137
Karta (Anil Kumar),Sale,29-May-2020,"6,974"
Ladage (Kirit D),Sale,27-May-2020,"10,074"
Malhotra (Geena V),Sale,19-May-2020,"76,482"
Pathak (Ranjana),Sale,26-Jun-2020,"103,216"
