,data
Previous close,334.90
Open,337.00
Bid,0.00 x 0
Ask,0.00 x 0
Day's range,327.35 - 337.00
52-week range,250.85 - 506.00
Volume,"10,607,175"
Avg. volume,"14,123,092"
Market cap,397.242B
Beta (5Y monthly),1.33
PE ratio (TTM),27.82
EPS (TTM),11.86
Earnings date,N/A
Forward dividend & yield,13.00 (3.88%)
Ex-dividend date,04-Jul-2019
1y target est,N/A
