,Most-recent transaction,Date,Shares owned as of transaction date
Chandrasekaran (Natarajan),Acquisition,16-Mar-2020,"200,000"
Malegam (Yezdi),Acquisition,14-Mar-2013,"8,000"
Tata AIA Life Insurance Company Ltd,Acquisition,27-Mar-2012,"2,225,377"
Tata Sons Ltd,Acquisition,05-Sep-2011,"274,976,191"
